t_dat,product_group_name,Quantity,ValueTotal,sales_channel_id
2018-09-20,Bags,1,0.0542203389830508,2
2018-09-20,Garment Upper body,6489,182.48454237288402,1
2018-09-20,Garment Lower body,2476,82.60769491525419,1
2018-09-20,Garment Lower body,9392,317.8091525423724,2
2018-09-20,Accessories,1261,23.63362711864423,2
2018-09-20,Socks & Tights,659,7.756932203389856,1
2018-09-20,Shoes,1141,49.13769491525433,2
2018-09-20,Garment Full body,3035,108.78805084745736,2
2018-09-20,Nightwear,382,9.079576271186411,2
2018-09-20,Garment Full body,565,19.818338983050776,1
2018-09-20,Accessories,933,14.461423728813473,1
2018-09-20,Garment Upper body,16746,490.19183050847994,2
2018-09-20,Underwear,2059,47.09832203389819,2
2018-09-20,Swimwear,1290,21.283322033898383,2
2018-09-20,Socks & Tights,418,5.405101694915246,2
2018-09-20,Underwear/nightwear,2,0.0336949152542372,2
2018-09-20,Shoes,165,6.452728813559317,1
2018-09-20,Cosmetic,3,0.0185932203389828,1
2018-09-20,Nightwear,82,2.134711864406776,1
2018-09-20,Unknown,4,0.2372203389830508,1
2018-09-20,Unknown,13,0.3172881355932197,2
2018-09-20,Items,5,0.06457627118644049,1
2018-09-20,Swimwear,64,0.8211355932203355,1
2018-09-20,Underwear,1211,25.63535593220349,1
2018-09-20,Bags,1,0.0542203389830508,2
2018-09-20,Cosmetic,3,0.0207118644067795,2
2018-09-20,Swimwear,1290,21.283322033898383,2
2018-09-20,Swimwear,64,0.8211355932203355,1
2018-09-20,Items,5,0.06457627118644049,1
2018-09-20,Unknown,13,0.3172881355932197,2
2018-09-20,Unknown,4,0.2372203389830508,1
2018-09-20,Nightwear,82,2.134711864406776,1
2018-09-20,Cosmetic,3,0.0185932203389828,1
2018-09-20,Shoes,165,6.452728813559317,1
2018-09-20,Underwear/nightwear,2,0.0336949152542372,2
2018-09-20,Socks & Tights,418,5.405101694915246,2
2018-09-20,Cosmetic,3,0.0207118644067795,2
2018-09-20,Underwear,2059,47.09832203389819,2
2018-09-20,Garment Upper body,16746,490.19183050847994,2
2018-09-20,Garment Upper body,6489,182.48454237288402,1
2018-09-20,Garment Lower body,2476,82.60769491525419,1
2018-09-20,Garment Lower body,9392,317.8091525423724,2
2018-09-20,Accessories,1261,23.63362711864423,2
2018-09-20,Underwear,1211,25.63535593220349,1
2018-09-20,Shoes,1141,49.13769491525433,2
2018-09-20,Garment Full body,3035,108.78805084745736,2
2018-09-20,Nightwear,382,9.079576271186411,2
2018-09-20,Accessories,933,14.461423728813473,1
2018-09-20,Garment Full body,565,19.818338983050776,1
2018-09-20,Socks & Tights,659,7.756932203389856,1
2018-09-21,Items,7,0.0939322033898303,1
2018-09-21,Garment Full body,2772,101.55277966101633,2
2018-09-21,Garment Upper body,15817,481.37220338983315,2
2018-09-21,Garment Lower body,8892,305.91577966101664,2
2018-09-21,Accessories,1228,23.453762711864492,2
2018-09-21,Shoes,1035,44.05881355932202,2
2018-09-21,Socks & Tights,493,7.095033898305104,2
2018-09-21,Swimwear,1171,19.792016949152572,2
2018-09-21,Garment Upper body,7023,209.5757966101717,1
2018-09-21,Garment Lower body,2893,92.79988135593227,1
2018-09-21,Garment Full body,590,20.495864406779614,1
2018-09-21,Socks & Tights,746,8.673067796610178,1
2018-09-21,Underwear,1215,25.929949152542374,1
2018-09-21,Accessories,1041,15.516847457627005,1
2018-09-21,Underwear,1869,43.55645762711862,2
2018-09-21,Nightwear,399,9.410186440677933,2
2018-09-21,Underwear,1215,25.929949152542374,1
2018-09-21,Shoes,160,6.131457627118637,1
2018-09-21,Nightwear,84,2.0596610169491485,1
2018-09-21,Swimwear,76,0.9871525423728765,1
2018-09-21,Unknown,11,0.17099999999999926,2
2018-09-21,Underwear/nightwear,8,0.215118644067796,2
2018-09-21,Cosmetic,7,0.0497118644067793,1
2018-09-21,Unknown,6,0.3558305084745762,1
2018-09-21,Garment Full body,2772,101.55277966101633,2
2018-09-21,Unknown,6,0.3558305084745762,1
2018-09-21,Cosmetic,7,0.0497118644067793,1
2018-09-21,Swimwear,1171,19.792016949152572,2
2018-09-21,Socks & Tights,746,8.673067796610178,1
2018-09-21,Garment Full body,590,20.495864406779614,1
2018-09-21,Garment Lower body,2893,92.79988135593227,1
2018-09-21,Garment Upper body,15817,481.37220338983315,2
2018-09-21,Socks & Tights,493,7.095033898305104,2
2018-09-21,Shoes,1035,44.05881355932202,2
2018-09-21,Accessories,1228,23.453762711864492,2
2018-09-21,Garment Upper body,7023,209.5757966101717,1
2018-09-21,Accessories,1041,15.516847457627005,1
2018-09-21,Garment Lower body,8892,305.91577966101664,2
2018-09-21,Underwear/nightwear,8,0.215118644067796,2
2018-09-21,Unknown,11,0.17099999999999926,2
2018-09-21,Swimwear,76,0.9871525423728765,1
2018-09-21,Items,7,0.0939322033898303,1
2018-09-21,Shoes,160,6.131457627118637,1
2018-09-21,Nightwear,399,9.410186440677933,2
2018-09-21,Underwear,1869,43.55645762711862,2
2018-09-21,Nightwear,84,2.0596610169491485,1
2018-09-22,Garment Full body,278,10.071610169491523,1
2018-09-22,Nightwear,39,1.0569661016949135,1
2018-09-22,Swimwear,33,0.3740338983050832,1
2018-09-22,Swimwear,283,5.118932203389823,2
2018-09-22,Unknown,9,0.22866101694915242,1
2018-09-22,Shoes,70,3.195016949152537,1
2018-09-22,Items,8,0.1083389830508472,1
2018-09-22,Underwear,682,14.529796610169438,1
2018-09-22,Underwear,566,12.807355932203338,2
2018-09-22,Garment Lower body,2594,90.12242372881416,2
2018-09-22,Underwear/nightwear,1,0.0237118644067796,2
2018-09-22,Garment Upper body,4626,140.2119322033891,2
2018-09-22,Garment Full body,808,30.69140677966097,2
2018-09-22,Garment Upper body,4071,126.12994915254158,1
2018-09-22,Unknown,8,0.2354576271186437,2
2018-09-22,Shoes,358,15.30918644067793,2
2018-09-22,Accessories,492,7.632627118644075,1
2018-09-22,Garment Lower body,1598,55.03289830508449,1
2018-09-22,Socks & Tights,153,2.1126610169491453,2
2018-09-22,Garment Upper body,4071,126.12994915254158,1
2018-09-22,Nightwear,159,3.5820508474576176,2
2018-09-22,Accessories,344,6.409423728813553,2
2018-09-22,Garment Full body,278,10.071610169491523,1
2018-09-22,Socks & Tights,449,5.409220338983052,1
2018-09-22,Accessories,344,6.409423728813553,2
2018-09-22,Garment Lower body,2594,90.12242372881416,2
2018-09-22,Underwear/nightwear,1,0.0237118644067796,2
2018-09-22,Cosmetic,6,0.0439661016949149,1
2018-09-22,Nightwear,39,1.0569661016949135,1
2018-09-22,Swimwear,33,0.3740338983050832,1
2018-09-22,Swimwear,283,5.118932203389823,2
2018-09-22,Unknown,9,0.22866101694915242,1
2018-09-22,Shoes,70,3.195016949152537,1
2018-09-22,Items,8,0.1083389830508472,1
2018-09-22,Nightwear,159,3.5820508474576176,2
2018-09-22,Cosmetic,6,0.0439661016949149,1
2018-09-22,Underwear,566,12.807355932203338,2
2018-09-22,Socks & Tights,449,5.409220338983052,1
2018-09-22,Garment Lower body,1598,55.03289830508449,1
2018-09-22,Accessories,492,7.632627118644075,1
2018-09-22,Shoes,358,15.30918644067793,2
2018-09-22,Unknown,8,0.2354576271186437,2
2018-09-22,Socks & Tights,153,2.1126610169491453,2
2018-09-22,Garment Full body,808,30.69140677966097,2
